gridDim,n,mode,planningTimeMs,statesExplored,success,totalCost,safetyScore,memoryKb
10,100,initial_plan,0.145691,84,1,38.4126,1,3460
10,100,incremental_replan,0.068725,39,1,39.2376,1,3720
10,100,fresh_replan,0.132631,85,1,39.2376,1,3720
20,400,initial_plan,1.10477,356,1,80.735,1,3976
20,400,incremental_replan,0.410813,118,1,81.7129,1,3976
20,400,fresh_replan,1.10127,356,1,81.7129,1,3976
30,900,initial_plan,4.60422,828,1,124.323,1,4360
30,900,incremental_replan,0.993997,154,1,124.919,1,4360
30,900,fresh_replan,4.81228,828,1,124.919,1,4360
40,1600,initial_plan,14.8077,1476,1,166.417,1,4872
40,1600,incremental_replan,5.71171,512,1,166.491,1,4872
40,1600,fresh_replan,15.0814,1476,1,166.491,1,5000
50,2500,initial_plan,38.4653,2290,1,203.656,1,5512
50,2500,incremental_replan,18.6002,955,1,206.174,1,5512
50,2500,fresh_replan,37.2611,2291,1,206.174,1,5640
60,3600,initial_plan,75.0425,3315,1,247.462,1,6280
60,3600,incremental_replan,26.245,1056,1,248.163,1,6280
60,3600,fresh_replan,73.0686,3315,1,248.163,1,6664
70,4900,initial_plan,138.434,4503,1,282.238,1,7148
70,4900,incremental_replan,54.3289,1528,1,284.274,1,7148
70,4900,fresh_replan,137.199,4503,1,284.274,1,7532
